Date,Close/Last,Volume,Open,High,Low
03/19/2018,$168.96,1176013,$168.70,$169.71,$167.46
03/16/2018,$168.69,1166583,$169.66,$170.67,$167.29
03/15/2018,$169.80,909103,$170.75,$171.38,$167.96
03/14/2018,$170.23,997807,$170.25,$170.60,$168.70
03/13/2018,$170.34,1039549,$169.78,$170.575,$168.65
03/12/2018,$168.91,763291,$166.92,$169.26,$166.16
03/09/2018,$166.49,1120928,$164.46,$166.59,$163.58
03/08/2018,$164.21,1149654,$158.83,$164.38,$156.2705
03/07/2018,$158.77,1262457,$156.01,$159.39,$156.01
03/06/2018,$156.50,1078427,$157.33,$158.15,$155.45
03/05/2018,$156.68,1335908,$152.14,$156.99,$151.425
03/02/2018,$152.91,1625920,$153.51,$155.12,$151.98
03/01/2018,$154.96,1396025,$157.57,$157.57,$153.88
02/28/2018,$157.27,1994712,$163.88,$165.0401,$157.14
02/27/2018,$163.20,2728610,$161.82,$170.00,$160.511
02/26/2018,$172.73,1298391,$172.92,$174.22,$171.81
02/23/2018,$172.93,887474,$172.08,$173.56,$171.312
02/22/2018,$171.12,1011966,$170.43,$173.54,$170.00
02/21/2018,$169.50,1210182,$169.43,$172.5253,$168.96
02/20/2018,$169.72,817251,$168.07,$170.73,$168.07
02/16/2018,$169.12,1191681,$166.75,$170.17,$165.09
02/15/2018,$167.10,1146682,$162.89,$167.64,$160.08
02/14/2018,$162.56,1392428,$159.58,$163.38,$157.44
02/13/2018,$161.42,1046839,$159.10,$162.11,$158.73
02/12/2018,$159.63,1271076,$160.25,$161.72,$157.26
02/09/2018,$159.73,1305784,$160.60,$162.7903,$154.36
02/08/2018,$159.85,1255302,$166.59,$168.49,$159.75
02/07/2018,$166.51,1075498,$165.15,$168.60,$165.15
02/06/2018,$166.00,2409801,$166.84,$168.54,$162.631
02/05/2018,$168.27,1335969,$173.25,$174.21,$168.17
02/02/2018,$173.21,777709,$173.27,$174.91,$171.43
02/01/2018,$174.73,1301257,$174.41,$177.67,$170.01
01/31/2018,$174.50,1397160,$170.27,$175.9999,$169.75
01/30/2018,$169.71,971730,$169.03,$170.17,$166.97
01/29/2018,$169.52,788108,$171.83,$173.00,$169.29
01/26/2018,$172.28,680023,$171.15,$172.63,$169.78
